Time,Consumption [kW],15min mean System Pout AC-coupling back power (ALL) [kW],15min mean System Pin Consumption power (ALL) [kW],15min mean System Pin Injection power (ALL) [kW],15min mean System Batt Charge Power Pbatt [kW],15min mean System Batt Discharge Power Pbatt [kW],Solar power [kW]
2025-07-26 21:15:00,0.3653653333333333,0.0,0.009801726666666667,0.0,0.0,-0.412910556,0.022256666666666664
2025-07-26 21:30:00,0.35479066666666664,0.0,0.00967718,0.0,0.0,-0.40324494000000005,0.009375386666666667
2025-07-26 21:45:00,0.2588833333333333,0.0,0.010114353333333333,0.0,0.0,-0.299746668,0.0023632199999999996
2025-07-26 22:00:00,0.9882266666666666,0.0,0.024110266666666668,0.0,0.0,-1.053187128,0.0
2025-07-26 22:15:00,4.3863666666666665,0.0,0.069629,0.0,0.0,-4.599682715599999,0.0
2025-07-26 22:30:00,3.1052133333333334,0.0,0.0501876,0.0,0.0,-3.268790876933333,0.0
2025-07-26 22:45:00,2.1238336666666666,0.0,0.03613736,0.0,0.0,-2.2533061828066665,0.0
2025-07-26 23:00:00,1.8175630666666664,0.0,0.03183580666666667,0.0,0.0,-1.93195144294,0.0
2025-07-26 23:15:00,1.5925905333333332,0.0,0.028660093333333334,0.0,0.0,-1.7031231074,0.0
2025-07-26 23:30:00,1.3231220000000001,0.0,0.026812506666666666,0.0,0.0,-1.4122125493000002,0.0
2025-07-26 23:45:00,1.1603606666666666,0.0,0.0266128,0.0,0.0,-1.23104009768,0.0
2025-07-27 00:00:00,1.1014373333333334,0.0,0.02649598666666667,0.0,0.0,-1.1761616930533334,0.0
2025-07-27 00:15:00,0.9666346666666666,0.0,0.024581986666666666,0.0,0.0,-1.03143726566,0.0
2025-07-27 00:30:00,1.03007,0.0,0.02435988,0.0,0.0,-1.1004607901333334,0.0
2025-07-27 00:45:00,1.0555375333333332,0.0,0.022758513333333334,0.0,0.0,-1.1276513793333334,0.0
2025-07-27 01:00:00,1.0243145333333332,0.0,0.02176814,0.0,0.0,-1.1015027903666668,0.0
2025-07-27 01:15:00,0.1356201333333333,0.0,0.009888206666666668,0.0,0.0,-0.17304222133333333,0.0
2025-07-27 01:30:00,0.057870866666666666,0.0,0.008362940000000001,0.0,0.0,-0.08883761600000001,0.0
2025-07-27 01:45:00,0.07416360000000001,0.0,0.008933373333333333,0.0,0.0,-0.10567435200000001,0.0
2025-07-27 02:00:00,0.08242933333333333,0.0,0.00941996,0.0,0.0,-0.11507408266666667,0.0
2025-07-27 02:15:00,0.0630772,0.0,0.008498993333333333,0.0,0.0,-0.09317802666666666,0.0
2025-07-27 02:30:00,0.13100433333333333,0.0,0.010008846666666666,0.0,0.0,-0.1615687546666667,0.0
2025-07-27 02:45:00,0.19568466666666667,0.0,0.011698199999999999,0.0,0.0,-0.228895128,0.0
2025-07-27 03:00:00,0.5632246666666667,0.0,0.0173148,0.0,0.0,-0.6153017508666667,0.0
2025-07-27 03:15:00,1.4419673333333334,0.0,0.03018406666666667,0.0,0.0,-1.5341301327399999,0.0
2025-07-27 03:30:00,1.0477518,0.0,0.024474593333333336,0.0,0.0,-1.1225835549666667,0.0
2025-07-27 03:45:00,0.7860804,0.0,0.020531873333333332,0.0,0.0,-0.8512223243866667,0.0
2025-07-27 04:00:00,0.997602,0.0,0.023931666666666667,0.0,0.0,-1.0703723118,0.0
2025-07-27 04:15:00,0.6513965333333334,0.0,0.01747278,0.0,0.0,-0.7089981039000001,0.0
2025-07-27 04:30:00,0.5670887333333334,0.0,0.01642614,0.0,0.0,-0.62470725372,0.0
2025-07-27 04:45:00,0.5854392666666667,0.0,0.016833213333333333,0.0,0.0,-0.64126827416,0.0
2025-07-27 05:00:00,0.42502746666666674,0.0,0.01456792,0.0,0.0,-0.47933697916,0.0
2025-07-27 05:15:00,0.055123266666666663,0.0,0.008899446666666666,0.0,0.0,-0.08685928533333334,0.0
2025-07-27 05:30:00,0.16214566666666666,0.0,0.01171468,0.0,0.0,-0.195428072,0.0
2025-07-27 05:45:00,0.19085066666666667,0.0,0.011414733333333335,0.0,0.0,-0.22709022933333334,0.0013233953333333334
2025-07-27 06:00:00,0.15140266666666669,0.0,0.00988458,0.0,0.0,-0.19071668,0.01073654
2025-07-27 06:15:00,0.16696666666666668,0.0,0.0102594,0.0,0.0,-0.19338270933333332,0.0448174
2025-07-27 06:30:00,0.1338452,0.0,0.009165379999999999,0.0,0.0,-0.10771614317333333,0.10120313333333335
2025-07-27 06:45:00,0.0552314,0.0,0.005841526666666667,0.0,0.059100706546666666,0.0,0.206692
2025-07-27 07:00:00,0.12142073333333334,0.0,0.0075398466666666665,0.0,0.17713871517333332,0.0,0.40388133333333337
2025-07-27 07:15:00,0.18886693333333332,0.0,0.006115306666666666,0.0,0.5981448086666667,0.0,0.9259626666666667
2025-07-27 07:30:00,0.3830651333333333,0.0,0.008914698666666667,-0.00013996133333333334,0.9891845437333333,0.0,1.5384466666666665
2025-07-27 07:45:00,1.2976680666666667,0.0,0.04160801333333333,0.0,0.07744440413333334,-0.4153046986106667,1.0922286666666667
2025-07-27 08:00:00,0.09479306666666668,0.0,0.0027327466666666666,0.0,0.9015712922,0.0,1.1461146666666666
2025-07-27 08:15:00,0.12622493333333334,0.0,0.0034032866666666665,-0.0009690800000000001,1.2211726281333333,0.0,1.5190866666666667
2025-07-27 08:30:00,3.5505,0.0,0.06552933333333334,0.0,0.6445186937266667,-0.0379559368,4.3797
2025-07-27 08:45:00,2.2393066666666663,0.0,0.0500812,0.0,0.14476088488,-0.28488075494666665,2.280866666666667
2025-07-27 09:00:00,3.069586666666667,0.0,0.07675066666666666,0.0,1.081217406737,0.0,4.391733333333334
2025-07-27 09:15:00,3.247806666666667,0.0,0.08633766666666666,0.0,0.7446413746333334,-0.12120151789333335,4.109013333333333
2025-07-27 09:30:00,3.9848066666666666,0.0,0.06983913333333333,0.0,1.1014555649066664,-0.1419837155933333,5.195413333333334
2025-07-27 09:45:00,4.12938,0.0,0.06813046666666667,0.0,0.26450470150666666,-0.2858986781733333,4.331526666666666
2025-07-27 10:00:00,3.753286666666667,0.0,0.09786840000000001,0.0,0.6268015629533334,-0.030332323353333333,4.601380000000001
2025-07-27 10:15:00,6.8811333333333335,0.0,0.07259900000000001,0.0,0.5733232128693333,-0.12963404877266668,7.605320000000001
2025-07-27 10:30:00,8.779259999999999,0.0,0.0865314,0.0,0.2773681071290667,-0.18931903322666668,9.174713333333333
2025-07-27 10:45:00,3.84444,0.0,0.060991666666666666,0.0,0.23427323041999998,-0.08464515429866666,4.22456
2025-07-27 11:00:00,3.54592,0.0,0.0985288,0.0,0.19097271792,-0.005599789666666666,3.9740266666666666
2025-07-27 11:15:00,5.393573333333333,0.0,0.06620279999999999,0.0,0.5474979749333334,-0.0573265946,6.14482
2025-07-27 11:30:00,7.4645600000000005,0.0,0.07362506666666667,0.0,0.20156088414666667,-0.02375499161333333,7.9233666666666664
2025-07-27 11:45:00,6.395393333333333,0.0,0.06496166666666667,0.0,0.08144672806666667,-0.10350156946399999,6.627993333333333
2025-07-27 12:00:00,3.45698,0.0,0.08618980000000001,0.0,0.45440520386666666,-0.06858544000000001,4.094673333333334
2025-07-27 12:15:00,3.8706266666666664,0.0,0.07031373333333332,0.0,0.5803665472326667,-0.17207309905333332,4.52836
2025-07-27 12:30:00,6.6755933333333335,0.0,0.08798993333333334,0.0,1.10586705838,-0.2130295487,7.883853333333334
