Time,Consumption [kW],15min mean System Pout AC-coupling back power (ALL) [kW],15min mean System Pin Consumption power (ALL) [kW],15min mean System Pin Injection power (ALL) [kW],15min mean System Batt Charge Power Pbatt [kW],15min mean System Batt Discharge Power Pbatt [kW],Solar power [kW]
2024-01-01 00:15:00,5.271199999999999,0.0,5.307320000000001,0.0,0.00046744246673333334,-0.003978103489333333,0.0
2024-01-01 00:30:00,4.3127466666666665,0.0,4.355766666666667,0.0,0.00047205485600000007,-0.00348976264,0.0
2024-01-01 00:45:00,4.7200066666666665,0.0,4.748646666666667,0.0,0.0006430656266666666,-0.004153087466666667,0.0
2024-01-01 01:00:00,1.5700866666666664,0.0,1.61438,0.0,0.00050555336,-0.0025814959733333333,0.0
2024-01-01 01:15:00,4.781806666666667,0.0,4.820139999999999,0.0,0.0003796,-0.0034649354133333334,0.0
2024-01-01 01:30:00,4.4810333333333325,0.0,4.528239999999999,0.0,0.00014791226666666668,-0.002986533333333333,0.0
2024-01-01 01:45:00,4.145453333333333,0.0,4.170186666666667,0.0,0.0007349194666666666,-0.003578154675060853,0.0
2024-01-01 02:00:00,4.8206,0.0,4.865433333333333,0.0,0.0005644891199999999,-0.0035931896,0.0
2024-01-01 02:15:00,4.538153333333333,0.0,4.5743133333333335,0.0,0.0006008887733333334,-0.0036569728,0.0
2024-01-01 02:30:00,9.257200000000001,0.0,9.30246,0.0,5.2e-06,-0.006222593866666667,0.0
2024-01-01 02:45:00,7.395173333333333,0.0,7.41376,0.0,0.00018662453333333334,-0.005208073866666667,0.0
2024-01-01 03:00:00,4.88268,0.0,4.9249600000000004,0.0,0.00016639757333333332,-0.0036608104,0.0
2024-01-01 03:15:00,8.500253333333333,0.0,8.538946666666668,0.0,0.0,-0.005724580506666666,0.0
2024-01-01 03:30:00,5.605353333333334,0.0,5.63366,0.0,0.00044893333333333337,-0.0038428416,0.0
2024-01-01 03:45:00,1.54676,0.0,1.5886733333333334,0.0,0.0010376877346247705,-0.0018748981333333334,0.0
2024-01-01 04:00:00,5.112806666666667,0.0,5.156246666666666,0.0,0.0012006106666666667,-0.0047359832,0.0
2024-01-01 04:15:00,2.051686666666667,0.0,2.0826533333333335,0.0,0.0010625309066666668,-0.0019095544,0.0
2024-01-01 04:30:00,3.2320933333333333,0.0,3.275386666666667,0.0,0.0011775122666666667,-0.0035498528000000003,0.0
2024-01-01 04:45:00,7.707726666666667,0.0,7.747826666666667,0.0,2.7733333333333334e-05,-0.005289602933333333,0.0
2024-01-01 05:00:00,1.41338,0.0,1.44288,0.0,0.0009337016000000001,-0.0017252684799999999,0.0
2024-01-01 05:15:00,3.414793333333334,0.0,3.460246666666667,0.0,0.0008863087999999999,-0.003020457093333333,0.0
2024-01-01 05:30:00,4.00744,0.0,4.044073333333333,0.0,0.0004102234933333334,-0.0030587544,0.0
2024-01-01 05:45:00,5.167739999999999,0.0,5.214646666666667,0.0,0.00028889016000000005,-0.004144423226666667,0.0
2024-01-01 06:00:00,8.34724,0.0,8.381933333333333,0.0,0.0,-0.005655346666666667,0.0
2024-01-01 06:15:00,3.2104,0.0,3.2371133333333333,0.0,0.0012191122666666667,-0.0035007128,0.0
2024-01-01 06:30:00,2.5123333333333333,0.0,2.5554666666666668,0.0,0.0005864421333333334,-0.0024047088,0.0
2024-01-01 06:45:00,6.953833333333334,0.0,6.994233333333333,0.0,0.0002628887733333333,-0.0047273879466666665,0.0
2024-01-01 07:00:00,3.7603133333333334,0.0,3.791373333333333,0.0,0.00039173333333333333,-0.003430287466666667,0.0
2024-01-01 07:15:00,7.57538,0.0,7.609846666666667,0.0,9.24456e-06,-0.005521231733333334,0.0
2024-01-01 07:30:00,2.008226666666667,0.0,2.04258,0.0,0.0010347850933333333,-0.002591316,0.0
2024-01-01 07:45:00,3.1655333333333338,0.0,3.2090533333333338,0.0,0.00031835786666666667,-0.0024728912,0.0
2024-01-01 08:00:00,6.7805599999999995,0.0,6.818366666666667,0.0,0.0002028,-0.0061960270699999995,0.0036146846666666667
2024-01-01 08:15:00,1.4415733333333334,0.0,1.4871933333333334,0.0,0.0007955974334000001,-0.0019135775332,0.0182181
2024-01-01 08:30:00,4.110546666666667,0.0,4.12276,0.0,0.0006485297835066667,-0.002945157431893333,0.07249893333333333
2024-01-01 08:45:00,4.138766666666667,0.0,4.007526666666666,0.0,0.0012488622297333334,-0.004182066226933333,0.196904
2024-01-01 09:00:00,3.0425400000000002,0.0,2.8326466666666668,0.0,0.0011151394006666667,-0.002880988187786667,0.3114906666666667
2024-01-01 09:15:00,4.6447,0.0,4.3186599999999995,0.0,0.0006983468666666667,-0.003097924915666667,0.4177053333333333
2024-01-01 09:30:00,5.522900000000001,0.0,5.066326666666667,0.0,0.00031947564,-0.0033463736,0.543326
2024-01-01 09:45:00,3.335446666666667,0.0,2.5824920000000002,0.0,0.0011913817999999999,-0.00366416076,0.8538033333333334
2024-01-01 10:00:00,7.07696,0.0,5.733186666666667,0.0,0.0011821782000000002,-0.00453144782,1.4812533333333335
2024-01-01 10:15:00,8.396980000000001,0.0,6.822953333333333,0.0,0.00126864706,-0.00287755398,1.7027266666666667
2024-01-01 10:30:00,1.5044266666666668,0.0,0.056360273333333336,0.0,0.5403103868533333,0.0,2.12432
2024-01-01 10:45:00,3.585666666666667,0.0,1.2178262466666667,0.0,0.4160093047466667,-0.0011676755638000001,2.9412133333333332
2024-01-01 11:00:00,2.6017466666666667,0.0,0.7988637000000001,0.0,0.672117151,-0.00068149884,2.6338066666666666
