Battery size (kWh),Solar scaling (%),Buy Electricity price (CHF/kWh),Sell PV price (CHF/kWh),Price type selection,Price peak power (CHF/kW max year/year),Battery C rate (-),Battery SOC for backup (%),Level of peak shaving (%),Battery SOC for peak shaving (%),Dataset choice,Self-consumption ratio with storage (%),Autarky ratio with storage (%),PV sell revenue with storage (CHF),Cost Buying Electricity with storage(CHF),Bill with storage (CHF),Gain of storage (CHF),Total gain of solar and storage (CHF),Throughput Energy (kWh),Number of equivalent 80% DOD cycles,Battery total price (CHF),Battery variable price (CHF/kWh),Cost of storage over 15 years (ct/kWh),Peak grid consumption with batt (kW),Reference grid injection (kWh),Reference grid consumption (kWh),Reference self-consumption (%),Reference autarky (%)
20.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,39.76182444649813,76.07241564944059,825.226985840551,336.6526410778453,-488.5743447627057,215.91484971005224,1895.5389432177715,2311.5162667034538,144.46976666896583,11333.333333333336,516.6666666666667,32.686577483319375,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
25.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,40.4846544551834,77.5502005605716,815.3246469356711,315.86073053692144,-499.4639163987497,226.8044213460962,1906.4285148538154,2392.7346672539375,119.63673336269687,13222.222222222223,488.8888888888889,36.839917670149724,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
30.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,40.86300345641279,78.33607026191483,810.1414918515169,304.80382204903754,-505.33766980247935,232.67817474982587,1912.3022682575452,2435.9257160347347,101.49690483478061,14833.333333333336,461.1111111111112,40.59601991881053,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
35.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,41.15615711331655,78.9508189050106,806.1254620423144,296.1545262711971,-509.97093577111735,237.31144071846387,1916.935534226183,2469.712027666924,88.20400098810441,16166.666666666668,433.33333333333337,43.639815723614056,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
40.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,41.34975555721831,79.36560364705278,803.4732791224885,290.31865179087066,-513.1546273316178,240.49513227896432,1920.1192257866835,2492.508412355699,77.89088788611559,17222.222222222226,405.5555555555556,46.06396281178527,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
50.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House1.csv,41.572452176938015,79.86476235365487,800.4224685931267,283.29566549887295,-517.1268030942538,244.4673080416003,1924.0914015493195,2519.941952558815,62.99854881397037,18500.000000000004,350.00000000000006,48.94292632736935,9.3724466667,10081.02641873495,3345.372905647112,17.582172233615033,39.13027628512772
50.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,47.69775780087184,68.53713344456915,1038.6120345611098,889.9963126694199,-148.61572189168987,475.1391066315043,2977.335448053439,4261.521498368694,106.53803745921735,18500.000000000004,350.00000000000006,28.941150098748825,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
45.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,47.33132326614527,67.99358653299508,1045.8886502785938,905.3717313780584,-140.51691890053542,467.04030364034986,2969.236645062285,4201.4612690380745,116.70725747327985,18000.000000000004,377.7777777777778,28.561491423071967,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
40.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,46.84970531629707,67.28323724711875,1055.4525652799532,925.4655217522917,-129.9870435276615,456.51042826747596,2958.706769689411,4122.969900388727,128.84280938714772,17222.222222222226,405.5555555555556,27.847599567484043,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
35.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,46.13332563284359,66.23291875196573,1069.6783523450108,955.1760882122104,-114.5022641328004,441.02564887261485,2943.22199029455,4006.913000154669,143.10403571980962,16166.666666666668,433.33333333333337,26.897958047408938,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
30.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,45.095147453092544,64.71658912862497,1090.2943777039802,998.0688033812844,-92.22557432269582,418.74895906251027,2920.9453004844454,3839.3633315254738,159.97347214689475,14833.333333333336,461.1111111111112,25.75658523299953,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
25.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,43.59809791676665,62.53574689558968,1120.0226187771345,1059.7587178236204,-60.26390095351417,386.7872856933286,2888.9836271152635,3598.3871032350994,179.91935516175496,13222.222222222223,488.8888888888889,24.49657183044573,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
20.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,41.46991766060073,59.44093538621998,1162.2837825978727,1147.3022614766855,-14.981521121187143,341.5049058610016,2843.7012472829365,3256.4201358403143,203.52625849001961,11333.333333333336,516.6666666666667,23.20202934627125,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
17.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,39.790455736603235,57.00109194471893,1195.634348319509,1216.3185941938889,20.68424587437994,305.8391388654345,2808.0354802873694,2986.825086163737,219.61949162968654,10066.666666666668,533.3333333333334,22.469046286640204,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
15.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,38.50335634101933,55.13202589407966,1221.1934231454075,1269.1892342633143,47.9958111179069,278.52757362190755,2780.7239150438427,2780.2991483925443,231.69159569937867,9166.666666666668,544.4444444444445,21.980048854254793,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
14.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,37.81159528847506,54.12767579976167,1234.930336210773,1297.5994835010115,62.66914729023847,263.854237449576,2766.050578871511,2669.32161230779,238.33228681319554,8700.0,550.0,21.728367137392446,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
13.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,37.086864441296285,53.075580637115124,1249.3219597444595,1327.3603069047876,78.03834716032816,248.4850375794863,2750.681379001421,2553.0683958867894,245.4873457583451,8222.222222222223,555.5555555555557,21.470170913997507,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
12.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,36.31569250092534,51.956232002243716,1264.6358052758937,1359.0235425439175,94.38773726802378,232.13564747179066,2734.331988893726,2429.383881671438,253.06082100744143,7733.333333333334,561.1111111111112,21.22165868659871,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
11.0,100.0,0.256,0.11199999999999999,**Fixed price**,0.0,0.5,20.0,100.0,20.0,House2.csv,35.49057067386953,50.758756067683585,1281.0209815805056,1392.8967805208595,111.87579894035389,214.64758579946056,2716.8439272213955,2297.0665458240082,261.03028929818277,7233.333333333334,566.6666666666667,20.99295830583953,18.218600000000002,14144.092653851867,7463.5225077000905,20.226238166108946,32.45489313415388
