Time,Consumption [kW],15min mean System Pout AC-coupling back power (ALL) [kW],15min mean System Pin Consumption power (ALL) [kW],15min mean System Pin Injection power (ALL) [kW],15min mean System Batt Charge Power Pbatt [kW],15min mean System Batt Discharge Power Pbatt [kW],Solar power [kW]
2024-01-01 00:15:00,0.9259293333333333,0.0,0.9559080000000001,0.0,0.0,-0.0004619986,0.0
2024-01-01 00:30:00,0.5057259999999999,0.0,0.5470246666666667,0.0,0.0,-0.00023100105,0.0
2024-01-01 00:45:00,2.5753866666666667,0.0,2.608166666666667,0.0,0.0,-0.001152095,0.0
2024-01-01 01:00:00,2.6479133333333333,0.0,2.68122,0.0,0.0,-0.0011824214499999998,0.0
2024-01-01 01:15:00,0.7542006666666666,0.0,0.7861186666666667,0.0,1.7499999999999998e-06,-0.00042525000000000006,0.0
2024-01-01 01:30:00,2.2384706666666667,0.0,2.291858,0.0,1.7499999999999998e-06,-0.00093975,0.0
2024-01-01 01:45:00,4.75814,0.0,4.78116,0.0,0.0,-0.002186331,0.0
2024-01-01 02:00:00,0.6066373333333334,0.0,0.6396219999999999,0.0,0.0,-0.0003535196,0.0
2024-01-01 02:15:00,1.0217086666666666,0.0,1.063452,0.0,0.0,-0.00035933695,0.0
2024-01-01 02:30:00,2.882413333333333,0.0,2.91088,0.0,0.0,-0.0013335,0.0
2024-01-01 02:45:00,0.37992333333333334,0.0,0.4179673333333333,0.0,0.0,-0.00021232995,0.0
2024-01-01 03:00:00,1.1223533333333333,0.0,1.1616313333333332,0.0,0.0,-0.00045265535,0.0
2024-01-01 03:15:00,2.8577066666666666,0.0,2.8945866666666666,0.0,2.1000000000000002e-05,-0.0013399155,0.0
2024-01-01 03:30:00,1.141874,0.0,1.176206,0.0,0.0,-0.0005413345,0.0
2024-01-01 03:45:00,0.49139933333333335,0.0,0.5332899999999999,0.0,0.0,-0.0002059183,0.0
2024-01-01 04:00:00,2.77572,0.0,2.808046666666667,0.0,0.0,-0.0012320035,0.0
2024-01-01 04:15:00,0.7617673333333334,0.0,0.7943946666666667,0.0,0.0,-0.00043869000000000004,0.0
2024-01-01 04:30:00,0.637456,0.0,0.6770553333333333,0.0,0.0,-0.0002409162,0.0
2024-01-01 04:45:00,2.7287733333333337,0.0,2.7607266666666663,0.0,0.0,-0.0012215,0.0
2024-01-01 05:00:00,0.8962073333333334,0.0,0.9298153333333333,0.0,0.0,-0.00051275035,0.0
2024-01-01 05:15:00,0.5804786666666667,0.0,0.62069,0.0,0.0,-0.00024849999999999997,0.0
2024-01-01 05:30:00,2.7357,0.0,2.76572,0.0,0.0,-0.0011975809999999999,0.0
2024-01-01 05:45:00,2.607353333333333,0.0,2.639946666666667,0.0,0.0,-0.0011725035,0.0
2024-01-01 06:00:00,2.120646,0.0,2.149376666666667,0.0,0.0,-0.0010540824,0.0
2024-01-01 06:15:00,0.28901866666666665,0.0,0.32578999999999997,0.0,0.0,-0.00018958415,0.0
2024-01-01 06:30:00,1.6967746666666668,0.0,1.7362406666666668,0.0,0.0,-0.000697081,0.0
2024-01-01 06:45:00,1.9937666666666665,0.0,2.024118666666667,0.0,0.0,-0.00096891305,0.0
2024-01-01 07:00:00,0.28877,0.0,0.3249126666666667,0.0,0.0,-0.00017849895,0.0
2024-01-01 07:15:00,4.010963333333334,0.0,4.057230666666666,0.0,0.0,-0.0017797429999999999,0.0
